title,title_norm,standardized_job_title,job_title,hiring_company,period_start_date,period_end_date,unique_application_clicks,unique_visitors,duration_days
Specialist Financiële Administratie Overheid,specialist financiële administratie overheid,Ambtenaar,Specialist Financiële Administratie Overheid,Brunel,2025-01-29,2025-02-28,5,78,30.0
IT - Medior Servicedesk Specialist,it - medior servicedesk specialist,ICT-specialist,IT - Medior Servicedesk Specialist,Brunel,2025-01-28,2025-02-06,2,84,9.0
Beoordelaar Subsidies,beoordelaar subsidies,Beoordelaar,Beoordelaar Subsidies,Brunel,2025-01-28,2025-02-27,2,84,30.0
Traineeship Hypotheekacceptant Utrecht,traineeship hypotheekacceptant utrecht,Hypotheekverzekeraar,Traineeship Hypotheekacceptant Utrecht,Brunel,2025-01-06,2025-02-05,0,88,30.0
ICT Servicedesk Medewerker,ict servicedesk medewerker,ICT-servicedesk,ICT Servicedesk Medewerker,Brunel,2025-01-28,2025-02-06,8,78,9.0
Traineeship Hypotheekacceptant Amersfoort,traineeship hypotheekacceptant amersfoort,Hypotheekverzekeraar,Traineeship Hypotheekacceptant Amersfoort,Brunel,2025-01-06,2025-02-05,0,85,30.0
Medior Subsidie Beoordelaar Zwolle,medior subsidie beoordelaar zwolle,Beoordelaar,Medior Subsidie Beoordelaar Zwolle,Brunel,2025-03-06,2025-04-03,0,74,28.0
Senior netwerkebeheerder,senior netwerkebeheerder,Senior specialist,Senior netwerkebeheerder,Brunel,2024-11-20,2024-12-20,4,81,30.0
Maintenance Engineer Bouwkunde,maintenance engineer bouwkunde,Onderhoudsingenieur,Maintenance Engineer Bouwkunde,Brunel,2025-01-15,2025-02-14,2,84,30.0
Uitvoerder onderhoud,uitvoerder onderhoud,Constructiesupervisor,Uitvoerder onderhoud,Brunel,2024-12-20,2025-01-19,2,77,30.0
Senior Infrastructuur Automation Engineer,senior infrastructuur automation engineer,Senior automatiseringstechnicus,Senior Infrastructuur Automation Engineer,Brunel,2025-03-06,2025-04-03,4,80,28.0
Testanalist,testanalist,Software-ingenieur,Testanalist,Brunel,2024-12-03,2025-01-02,8,70,30.0
Junior Hypotheekacceptant Sittard,junior hypotheekacceptant sittard,Hypotheekverzekeraar,Junior Hypotheekacceptant Sittard,Brunel,2025-01-06,2025-02-05,1,79,30.0
Medior Subsidieadviseur,medior subsidieadviseur,Financieel adviseur,Medior Subsidieadviseur,Brunel,2025-06-27,2025-07-27,1,77,30.0
Werkvoorbereider Utiliteit Junior,werkvoorbereider utiliteit junior,Junior Planner,Werkvoorbereider Utiliteit Junior,Brunel,2025-01-15,2025-01-28,1,80,13.0
Financieel Medewerker Amersfoort,financieel medewerker amersfoort,Financieel medewerker,Financieel Medewerker Amersfoort,Brunel,2025-01-28,2025-02-27,1,72,30.0
Junior Adviseur Subsidies Roermond,junior adviseur subsidies roermond,Junior adviseur,Junior Adviseur Subsidies Roermond,Brunel,2025-01-15,2025-02-14,4,74,30.0
Senior Financieel Adviseur Planning & Control,senior financieel adviseur planning & control,Senior financieel adviseur,Senior Financieel Adviseur Planning & Control,Brunel,2025-01-15,2025-02-14,2,78,30.0
Specialist Bijzonder Beheer Diemen,specialist bijzonder beheer diemen,Specialist,Specialist Bijzonder Beheer Diemen,Brunel,2024-12-03,2025-01-02,0,77,30.0
Senior Bezwaarjurist,senior bezwaarjurist,Senior specialist,Senior Bezwaarjurist,Brunel,2025-03-11,2025-04-07,2,73,27.0
Hypothecair planner,hypothecair planner,Planner,Hypothecair planner,Brunel,2025-02-28,2025-03-29,1,74,29.0
Senior Jurist Ruimtelijke Ordening,senior jurist ruimtelijke ordening,Senior Advocaat,Senior Jurist Ruimtelijke Ordening,Brunel,2025-08-01,2025-08-31,0,70,30.0
Operationeel medewerker Hypotheken,operationeel medewerker hypotheken,Medewerker hypotheken,Operationeel medewerker Hypotheken,Brunel,2025-01-06,2025-02-05,0,73,30.0
Jurist Rechtsbijstand (Senior),jurist rechtsbijstand (senior),Senior Advocaat,Jurist Rechtsbijstand (Senior),Brunel,2025-03-10,2025-04-07,0,75,28.0
Werkvoorbereider Utiliteit Medior,werkvoorbereider utiliteit medior,Planner,Werkvoorbereider Utiliteit Medior,Brunel,2025-01-15,2025-02-04,1,73,20.0
Hypotheekacceptant bij Stater in Amersfoort,hypotheekacceptant bij stater in amersfoort,Hypotheekverzekeraar,Hypotheekacceptant bij Stater in Amersfoort,Brunel,2025-01-15,2025-02-14,0,74,30.0
Senior Jurist Vergunningen,senior jurist vergunningen,Senior Advocaat,Senior Jurist Vergunningen,Brunel,2025-02-13,2025-03-29,0,75,44.0
Senior Handhavingsjurist HBO,senior handhavingsjurist hbo,Senior specialist,Senior Handhavingsjurist HBO,Brunel,2025-01-15,2025-02-14,1,71,30.0
Senior Jurist Wet open overheid,senior jurist wet open overheid,Senior Advocaat,Senior Jurist Wet open overheid,Brunel,2025-01-03,2025-02-02,0,77,30.0
Werkplekbeheer en Support,werkplekbeheer en support,Ondersteuning,Werkplekbeheer en Support,Brunel,2024-12-03,2024-12-20,1,66,17.0
Senior Jurist Woo bij de Rijksoverheid,senior jurist woo bij de rijksoverheid,Senior Advocaat,Senior Jurist Woo bij de Rijksoverheid,Brunel,2025-01-06,2025-02-05,2,73,30.0
Medior Project Engineer Energie opwek Elektrotechniek,medior project engineer energie opwek elektrotechniek,Projectingenieur,Medior Project Engineer Energie opwek Elektrotechniek,Brunel,2025-01-06,2025-02-05,0,71,30.0
Medewerker (Backoffice) Hypotheken,medewerker (backoffice) hypotheken,Medewerker hypotheken,Medewerker (Backoffice) Hypotheken,Brunel,2025-01-15,2025-02-14,1,66,30.0
Technisch ontwikkelaar / Planvoorbereider,technisch ontwikkelaar / planvoorbereider,Technisch ontwikkelaar,Technisch ontwikkelaar / Planvoorbereider,Brunel,2025-02-12,2025-02-28,2,71,16.0
Operationeel medewerker Hypotheken Amersfoort,operationeel medewerker hypotheken amersfoort,Medewerker hypotheken,Operationeel medewerker Hypotheken Amersfoort,Brunel,2025-01-06,2025-02-05,1,70,30.0
Werkvoorbereider Elektrotechniek - Schiphol,werkvoorbereider elektrotechniek - schiphol,Planner,Werkvoorbereider Elektrotechniek - Schiphol,Brunel,2025-01-15,2025-02-04,2,68,20.0
Uitvoerder Bouwkunde,uitvoerder bouwkunde,Constructiesupervisor,Uitvoerder Bouwkunde,Brunel,2025-04-17,2025-05-17,1,59,30.0
Senior Uitvoerder Bouwkunde,senior uitvoerder bouwkunde,Constructiesupervisor,Senior Uitvoerder Bouwkunde,Brunel,2025-04-17,2025-05-17,1,64,30.0
Projectleider Civiele Techniek,projectleider civiele techniek,Projectleider,Projectleider Civiele Techniek,Brunel,2025-02-06,2025-03-29,4,65,51.0
Handhavingsjurist HBO,handhavingsjurist hbo,Advocaat,Handhavingsjurist HBO,Brunel,2025-01-15,2025-02-14,1,64,30.0
Senior Jurist Bestuursrecht,senior jurist bestuursrecht,Senior Advocaat,Senior Jurist Bestuursrecht,Brunel,2025-01-28,2025-02-27,0,65,30.0
Maintenance Planner,maintenance planner,Onderhoudsplanner,Maintenance Planner,Brunel,2025-11-20,,4,60,
Construction Manager,construction manager,Bouwmanager,Construction Manager,Brunel,2025-11-21,,5,63,
Medior Werkvoorbereider Bouwkunde,medior werkvoorbereider bouwkunde,Planner,Medior Werkvoorbereider Bouwkunde,Brunel,2024-11-20,2024-12-20,0,63,30.0
Projectmanager Tunnelventilatiesystemen,projectmanager tunnelventilatiesystemen,Projectmanager,Projectmanager Tunnelventilatiesystemen,Brunel,2024-11-13,2024-12-13,2,64,30.0
Specialist Assetmanagement wo Utrecht,specialist assetmanagement wo utrecht,Specialist,Specialist Assetmanagement wo Utrecht,Brunel,2025-03-06,2025-04-03,0,65,28.0
Business Support Vermogen,business support vermogen,Equity-specialist,Business Support Vermogen,Brunel,2024-11-20,2024-12-20,1,62,30.0
Senior Project Engineer Utiliteit Elektrotechniek,senior project engineer utiliteit elektrotechniek,Senior projectingenieur,Senior Project Engineer Utiliteit Elektrotechniek,Brunel,2025-01-15,2025-02-04,0,67,20.0
Medewerker (Backoffice) Hypotheken bij Stater in Amersfoort,medewerker (backoffice) hypotheken bij stater in amersfoort,Medewerker hypotheken,Medewerker (Backoffice) Hypotheken bij Stater in Amersfoort,Brunel,2025-01-15,2025-02-14,0,66,30.0
Werkvoorbereider Werktuigbouwkunde - Schiphol,werkvoorbereider werktuigbouwkunde - schiphol,Mechanisch Coördinator,Werkvoorbereider Werktuigbouwkunde - Schiphol,Brunel,2025-01-15,2025-02-04,2,63,20.0
Junior Hypotheekspecialist,junior hypotheekspecialist,Hypotheekspecialist,Junior Hypotheekspecialist,Brunel,2024-12-03,2025-01-02,0,60,30.0
Modern Workplace Engineer,modern workplace engineer,Software-ingenieur,Modern Workplace Engineer,Brunel,2024-12-03,2025-01-02,3,60,30.0
Junior Bezwaarjurist - Den Haag,junior bezwaarjurist - den haag,Advocaat,Junior Bezwaarjurist - Den Haag,Brunel,2024-12-03,2025-01-02,1,62,30.0
Senior Juridisch Planoloog WO,senior juridisch planoloog wo,Planoloog,Senior Juridisch Planoloog WO,Brunel,2025-01-15,2025-02-14,0,59,30.0
Traineeship Hypotheekacceptant Amsterdam,traineeship hypotheekacceptant amsterdam,Trainee,Traineeship Hypotheekacceptant Amsterdam,Brunel,2024-11-13,2024-12-13,5,60,30.0
Medior Werkvoorbereider Civiele Techniek,medior werkvoorbereider civiele techniek,Civiele techniek,Medior Werkvoorbereider Civiele Techniek,Brunel,2024-11-20,2024-12-20,2,53,30.0
Acceptant Verduurzaming Hilversum,acceptant verduurzaming hilversum,Underwriter,Acceptant Verduurzaming Hilversum,Brunel,2024-11-20,2024-12-20,2,57,30.0
Werkvoorbereider / Technisch Klantadviseur – Energie & Infra,werkvoorbereider / technisch klantadviseur - energie & infra,Planner,Werkvoorbereider / Technisch Klantadviseur – Energie & Infra,Brunel,2025-03-06,2025-04-05,1,60,30.0
Jurist Bouwrecht,jurist bouwrecht,Advocaat,Jurist Bouwrecht,Brunel,2025-03-11,2025-04-07,0,60,27.0
Subsidiemedewerker Roermond,subsidiemedewerker roermond,Subsidiemedewerker,Subsidiemedewerker Roermond,Brunel,2025-01-28,2025-02-06,1,53,9.0
Medior Bezwaarjurist - Den Haag,medior bezwaarjurist - den haag,Bedrijfsjurist,Medior Bezwaarjurist - Den Haag,Brunel,2025-01-15,2025-02-14,0,60,30.0
Junior Jurist Omgevingsrecht,junior jurist omgevingsrecht,Junior advocaat,Junior Jurist Omgevingsrecht,Brunel,2025-01-28,2025-02-27,0,59,30.0
Bouw/Civiel Projectleider,bouw/civiel projectleider,Bouw,Bouw/Civiel Projectleider,Brunel,2025-03-06,2025-04-03,2,51,28.0
Specialist Hypotheken Rotterdam,specialist hypotheken rotterdam,Specialist,Specialist Hypotheken Rotterdam,Brunel,2024-11-20,2024-12-20,0,53,30.0
Senior Functioneel Beheerder,senior functioneel beheerder,Senior Functioneel Manager,Senior Functioneel Beheerder,Brunel,2025-01-19,2025-01-28,0,55,9.0
Jurist Vergunningen,jurist vergunningen,Advocaat,Jurist Vergunningen,Brunel,2025-01-28,2025-02-27,0,57,30.0
Medior Project Engineer Installatietechniek,medior project engineer installatietechniek,Projectingenieur,Medior Project Engineer Installatietechniek,Brunel,2025-01-28,2025-02-13,6,53,16.0
Juridisch Vergunningverlener HBO,juridisch vergunningverlener hbo,Juridisch,Juridisch Vergunningverlener HBO,Brunel,2025-01-19,2025-02-18,0,57,30.0
Jurist Omgevingsrecht,jurist omgevingsrecht,Advocaat,Jurist Omgevingsrecht,Brunel,2025-01-28,2025-02-27,1,56,30.0
Senior Handhavingsjurist WO,senior handhavingsjurist wo,Senior specialist,Senior Handhavingsjurist WO,Brunel,2025-01-19,2025-02-18,3,50,30.0
Juridisch Vergunningverlener WO,juridisch vergunningverlener wo,Juridisch,Juridisch Vergunningverlener WO,Brunel,2025-01-19,2025-02-18,0,57,30.0
Senior jurist handhaving,senior jurist handhaving,Senior Advocaat,Senior jurist handhaving,Brunel,2024-12-10,2025-01-09,0,53,30.0
Projectleider Automatisering,projectleider automatisering,Projectsupervisor,Projectleider Automatisering,Brunel,2024-11-06,2024-12-06,1,53,30.0
Projectorganisator Civiele Techniek,projectorganisator civiele techniek,Civiele techniek,Projectorganisator Civiele Techniek,Brunel,2025-03-11,2025-04-07,1,54,27.0
Jurist Erfpacht,jurist erfpacht,Advocaat,Jurist Erfpacht,Brunel,2024-12-03,2025-01-02,2,52,30.0
Projectorganisator Bouwkunde,projectorganisator bouwkunde,Projectmanager,Projectorganisator Bouwkunde,Brunel,2025-03-11,2025-04-07,3,47,27.0
Junior Bouwkundig Werkvoorbereider,junior bouwkundig werkvoorbereider,Junior Planner,Junior Bouwkundig Werkvoorbereider,Brunel,2025-03-21,2025-03-28,3,42,7.0
Bouwkundig Civiel Engineer,bouwkundig civiel engineer,Civiel ingenieur,Bouwkundig Civiel Engineer,Brunel,2025-03-21,2025-03-27,3,43,6.0
Specialist Schuldhulp Diemen,specialist schuldhulp diemen,Specialist,Specialist Schuldhulp Diemen,Brunel,2024-12-03,2025-01-02,0,47,30.0
Medior Jurist Subsidierecht,medior jurist subsidierecht,Advocaat,Medior Jurist Subsidierecht,Brunel,2025-03-28,2025-04-12,0,52,15.0
MCP IT Specialist,mcp it specialist,ICT-specialist,MCP IT Specialist,Brunel,2025-03-21,2025-04-07,3,50,17.0
Medior Subsidie Beoordelaar Den Haag,medior subsidie beoordelaar den haag,Beoordelaar,Medior Subsidie Beoordelaar Den Haag,Brunel,2024-12-24,2025-01-23,3,46,30.0
Junior Werkvoorbereider Bouwkunde,junior werkvoorbereider bouwkunde,Junior Planner,Junior Werkvoorbereider Bouwkunde,Brunel,2025-02-06,2025-02-13,5,45,7.0
junior jurist handhaving,junior jurist handhaving,Junior advocaat,junior jurist handhaving,Brunel,2024-11-13,2024-12-13,0,47,30.0
Junior Bezwaarjurist - Utrecht - Wo,junior bezwaarjurist - utrecht - wo,Advocaat,Junior Bezwaarjurist - Utrecht - Wo,Brunel,2024-12-03,2025-01-02,1,47,30.0
Junior Bezwaarjurist - Den Haag,junior bezwaarjurist - den haag,Juridisch medewerker,Junior Bezwaarjurist - Den Haag,Brunel,2024-12-03,2025-01-02,1,50,30.0
Senior Jurist Milieu,senior jurist milieu,Senior Advocaat,Senior Jurist Milieu,Brunel,2024-12-10,2025-01-09,1,47,30.0
Jurist Bezwaar & Beroep Omgevingswet HBO Junior,jurist bezwaar & beroep omgevingswet hbo junior,Advocaat,Jurist Bezwaar & Beroep Omgevingswet HBO Junior,Brunel,2025-01-15,2025-02-13,0,46,29.0
Hypotheekacceptant Utrecht,hypotheekacceptant utrecht,Hypotheekverzekeraar,Hypotheekacceptant Utrecht,Brunel,2025-01-15,2025-02-14,0,50,30.0
Specialist Beheer Hypotheken Utrecht,specialist beheer hypotheken utrecht,Specialist,Specialist Beheer Hypotheken Utrecht,Brunel,2024-11-20,2024-12-20,2,49,30.0
Projectleider Bouwkunde,projectleider bouwkunde,Projectleider,Projectleider Bouwkunde,Brunel,2025-02-06,2025-03-11,4,43,33.0
Specialist Beheer Woninghypotheken Sittard,specialist beheer woninghypotheken sittard,Specialist woninghypotheken,Specialist Beheer Woninghypotheken Sittard,Brunel,2024-11-20,2024-12-20,2,45,30.0
Specialist Bijzonder Beheer Utrecht,specialist bijzonder beheer utrecht,Specialist,Specialist Bijzonder Beheer Utrecht,Brunel,2024-12-03,2025-01-02,0,43,30.0
Werkvoorbereider Bouwkunde – Regio Noord,werkvoorbereider bouwkunde - regio noord,Projectplanner,Werkvoorbereider Bouwkunde – Regio Noord,Brunel,2025-02-24,2025-02-28,1,40,4.0
Handhavingsjurist WO,handhavingsjurist wo,Juridisch specialist,Handhavingsjurist WO,Brunel,2025-01-19,2025-02-18,0,45,30.0
WO Junior Jurist Omgevingsrecht,wo junior jurist omgevingsrecht,Junior advocaat,WO Junior Jurist Omgevingsrecht,Brunel,2025-01-28,2025-02-13,0,44,16.0
Commissioning Engineer,commissioning engineer,Ingenieur inbedrijfstelling,Commissioning Engineer,Brunel,2025-03-21,2025-03-22,2,35,1.0
Juridisch Planoloog WO,juridisch planoloog wo,Planoloog,Juridisch Planoloog WO,Brunel,2025-01-15,2025-02-13,2,40,29.0
Functioneel Beheerder,functioneel beheerder,,Functioneel Beheerder,Brunel,2020-05-22,2020-05-29,0,34,7.0
Jurist Sociaal Domein,jurist sociaal domein,Advocaat,Jurist Sociaal Domein,Brunel,2024-11-13,2024-12-13,0,42,30.0
Jurist Bezwaar & Beroep Medior WO,jurist bezwaar & beroep medior wo,Advocaat,Jurist Bezwaar & Beroep Medior WO,Brunel,2025-01-15,2025-02-13,0,43,29.0
Jurist handhaving,jurist handhaving,Advocaat,Jurist handhaving,Brunel,2025-03-06,2025-04-03,0,41,28.0
Projectleider Elektrotechniek,projectleider elektrotechniek,Projectleider,Projectleider Elektrotechniek,Brunel,2025-01-19,2025-01-28,1,39,9.0
Assistent Beleggen,assistent beleggen,Financiële Dienstverleningsassistent,Assistent Beleggen,Brunel,2024-11-20,2024-12-20,0,41,30.0
Specialist Kredietbeoordeling Hilversum,specialist kredietbeoordeling hilversum,Specialist,Specialist Kredietbeoordeling Hilversum,Brunel,2024-12-03,2025-01-02,0,38,30.0
Werkvoorbereider Bouwkunde,werkvoorbereider bouwkunde,Projectplanner,Werkvoorbereider Bouwkunde,Brunel,2025-02-12,2025-02-18,4,34,6.0
Krediet Acceptant Utrecht,krediet acceptant utrecht,Underwriter,Krediet Acceptant Utrecht,Brunel,2024-11-20,2024-12-03,1,32,13.0
Specialist Beheer Hypotheken Sittard,specialist beheer hypotheken sittard,Specialist,Specialist Beheer Hypotheken Sittard,Brunel,2024-11-20,2024-12-20,0,34,30.0
Specialist Bijzonder Beheer Amsterdam,specialist bijzonder beheer amsterdam,Specialist,Specialist Bijzonder Beheer Amsterdam,Brunel,2024-12-03,2025-01-02,0,34,30.0
Senior Juridisch Vergunningverlener HBO,senior juridisch vergunningverlener hbo,Juridisch,Senior Juridisch Vergunningverlener HBO,Brunel,2025-01-19,2025-02-18,0,35,30.0
Krediet Specialist Verduurzaming,krediet specialist verduurzaming,Specialist,Krediet Specialist Verduurzaming,Brunel,2024-11-20,2024-12-03,0,34,13.0
Senior Hypotheek Acceptant Sittard,senior hypotheek acceptant sittard,Senior verzekeraar,Senior Hypotheek Acceptant Sittard,Brunel,2024-11-20,2024-12-20,0,35,30.0
Specialist Kredietbeoordeling Utrecht,specialist kredietbeoordeling utrecht,Specialist,Specialist Kredietbeoordeling Utrecht,Brunel,2024-12-03,2025-01-02,0,32,30.0
Medior Bezwaarjurist - Utrecht,medior bezwaarjurist - utrecht,Juridisch specialist,Medior Bezwaarjurist - Utrecht,Brunel,2025-03-21,2025-04-07,0,31,17.0
Acceptant Duurzaamheidskredieten,acceptant duurzaamheidskredieten,Underwriter,Acceptant Duurzaamheidskredieten,Brunel,2024-11-20,2024-12-03,1,29,13.0
Medior Bezwaarjurist - Den Haag,medior bezwaarjurist - den haag,Juridisch specialist,Medior Bezwaarjurist - Den Haag,Brunel,2024-12-03,2025-01-02,2,28,30.0
Medior Werkvoorbereider Civiele Techniek,medior werkvoorbereider civiele techniek,Planner,Medior Werkvoorbereider Civiele Techniek,Brunel,2025-02-06,2025-03-08,2,28,30.0
Jurist Bezwaar & Beroep Omgevingsrecht HBO Medior,jurist bezwaar & beroep omgevingsrecht hbo medior,Advocaat,Jurist Bezwaar & Beroep Omgevingsrecht HBO Medior,Brunel,2025-01-15,2025-02-13,0,31,29.0
Senior Jurist Woo - Rijksoverheid,senior jurist woo - rijksoverheid,Senior Advocaat,Senior Jurist Woo - Rijksoverheid,Brunel,2025-11-20,,1,28,
Bouwkundig Werkvoorbereider,bouwkundig werkvoorbereider,Planner,Bouwkundig Werkvoorbereider,Brunel,2025-03-21,2025-03-28,0,29,7.0
Medior Uitvoerder Civiele Techniek,medior uitvoerder civiele techniek,Constructiesupervisor,Medior Uitvoerder Civiele Techniek,Brunel,2025-02-06,2025-02-13,3,26,7.0
Zakelijke Hypotheek Acceptant,zakelijke hypotheek acceptant,Underwriter,Zakelijke Hypotheek Acceptant,Brunel,2024-11-20,2024-12-20,0,27,30.0
Senior Jurist Wet open overheid,senior jurist wet open overheid,Ambtenaar,Senior Jurist Wet open overheid,Brunel,2024-11-20,2024-12-20,0,26,30.0
Systeem Engineer Maritiem,systeem engineer maritiem,Systeemingenieur,Systeem Engineer Maritiem,Brunel,2025-03-21,2025-03-22,0,23,1.0
Senior Bezwaarjurist,senior bezwaarjurist,Juridisch specialist,Senior Bezwaarjurist,Brunel,2024-12-03,2025-01-02,0,18,30.0
Sales Consultant Compliance,sales consultant compliance,Verkoopconsultant,Sales Consultant Compliance,Brunel,2024-12-30,2024-12-31,0,16,1.0
Jurist Bezwaar & Beroep Omgevingsrecht WO Junior,jurist bezwaar & beroep omgevingsrecht wo junior,Advocaat,Jurist Bezwaar & Beroep Omgevingsrecht WO Junior,Brunel,2025-01-19,2025-02-13,0,17,25.0
Senior Bezwaarjurist - Den Haag,senior bezwaarjurist - den haag,Juridisch specialist,Senior Bezwaarjurist - Den Haag,Brunel,2024-12-03,2025-01-02,0,15,30.0
Juridisch Planoloog HBO,juridisch planoloog hbo,Planoloog,Juridisch Planoloog HBO,Brunel,2025-01-19,2025-02-13,1,14,25.0
Junior Project Engineer Duurzame Energie,junior project engineer duurzame energie,Elektrisch ingenieur,Junior Project Engineer Duurzame Energie,Brunel,2024-11-16,2024-12-13,0,13,27.0
Category Procurement Manager Packaging,category procurement manager packaging,Category-manager,Category Procurement Manager Packaging,Brunel,2025-09-23,2025-09-23,0,14,0.0
Senior Uitvoerder Civiele Techniek,senior uitvoerder civiele techniek,Constructiesupervisor,Senior Uitvoerder Civiele Techniek,Brunel,2025-02-06,2025-02-13,0,10,7.0
Jurist Beroep,jurist beroep,Advocaat,Jurist Beroep,Brunel,2024-12-30,2024-12-31,0,9,1.0
Medior Bezwaarjurist - Utrecht,medior bezwaarjurist - utrecht,Juridisch medewerker,Medior Bezwaarjurist - Utrecht,Brunel,2025-03-28,2025-03-31,0,9,3.0
Junior Functioneel Beheerder,junior functioneel beheerder,ICT-specialist,Junior Functioneel Beheerder,Brunel,2024-11-06,2024-12-06,0,9,30.0
Business Analist,business analist,Analist bedrijfsstrategie,Business Analist,Brunel,2024-11-06,2024-12-06,0,9,30.0
Procesmanager Amersfoort,procesmanager amersfoort,Manager procestechniek,Procesmanager Amersfoort,Brunel,2024-11-13,2024-12-13,0,8,30.0
Junior Financial Accountant,junior financial accountant,Accountant,Junior Financial Accountant,Brunel,2024-11-06,2024-12-06,0,8,30.0
Traineeship Hypotheekacceptant Utrecht,traineeship hypotheekacceptant utrecht,Trainee,Traineeship Hypotheekacceptant Utrecht,Brunel,2024-11-13,2024-12-13,0,8,30.0
Traineeship Hypotheekacceptant Amersfoort,traineeship hypotheekacceptant amersfoort,Trainee,Traineeship Hypotheekacceptant Amersfoort,Brunel,2024-11-13,2024-12-13,0,8,30.0
Junior Financieel Adviseur Planning & Control,junior financieel adviseur planning & control,Junior adviseur,Junior Financieel Adviseur Planning & Control,Brunel,2024-11-06,2024-12-06,0,8,30.0
Medior Project Engineer Energie opwek Elektrotechniek,medior project engineer energie opwek elektrotechniek,Elektrotechniek,Medior Project Engineer Energie opwek Elektrotechniek,Brunel,2024-11-16,2024-12-13,0,8,27.0
Project Engineer Energie opwek Elektrotechniek,project engineer energie opwek elektrotechniek,Elektrotechniek,Project Engineer Energie opwek Elektrotechniek,Brunel,2024-11-16,2024-12-13,0,8,27.0
Medior Project Engineer Duurzame Energie,medior project engineer duurzame energie,Elektrisch ingenieur,Medior Project Engineer Duurzame Energie,Brunel,2024-11-13,2024-12-13,0,8,30.0
Project Engineer Energie opwek Mechanisch,project engineer energie opwek mechanisch,Werktuigbouwkundige,Project Engineer Energie opwek Mechanisch,Brunel,2024-11-16,2024-12-13,0,8,27.0
Junior systeembeheerder Linux,junior systeembeheerder linux,Junior systeembeheerder,Junior systeembeheerder Linux,Brunel,2024-11-13,2024-12-13,0,7,30.0
Traineeship KYC,traineeship kyc,Financiën,Traineeship KYC,Brunel,2024-11-06,2024-12-06,0,7,30.0
Medior Project Engineer Energie opwek Werktuigbouwkunde,medior project engineer energie opwek werktuigbouwkunde,Werktuigbouwkundige,Medior Project Engineer Energie opwek Werktuigbouwkunde,Brunel,2024-11-16,2024-12-13,0,7,27.0
Senior Financial Accountant,senior financial accountant,Accountant,Senior Financial Accountant,Brunel,2024-11-06,2024-12-06,0,7,30.0
Medior Financial Accountant,medior financial accountant,Accountant,Medior Financial Accountant,Brunel,2024-11-06,2024-12-06,0,7,30.0
Medior Financieel Adviseur Planning & Control,medior financieel adviseur planning & control,Planningsbeheer,Medior Financieel Adviseur Planning & Control,Brunel,2024-11-06,2024-12-06,0,7,30.0
Medior CDD/KYC Analist,medior cdd/kyc analist,Analist tegen Geldwitwassen,Medior CDD/KYC Analist,Brunel,2024-11-06,2024-12-06,0,7,30.0
ICT Servicedeskmedewerker,ict servicedeskmedewerker,ICT-specialist,ICT Servicedeskmedewerker,Brunel,2024-11-04,2024-11-29,0,7,25.0
Service Level Manager,service level manager,Manager klantenservice,Service Level Manager,Brunel,2024-11-06,2024-12-06,0,6,30.0
Junior Java Engineer,junior java engineer,Software-ingenieur,Junior Java Engineer,Brunel,2024-11-04,2024-11-04,0,3,0.0
Informatiespecialist,informatiespecialist,Informatiespecialist,Informatiespecialist,Brunel,2024-11-06,2024-12-06,0,6,30.0
Supplier Quality Engineer,supplier quality engineer,Ingenieur leverancierskwaliteit,Supplier Quality Engineer,Brunel,2018-03-06,2018-04-05,0,3,30.0
Sales Consultant Bouw-Infra,sales consultant bouw-infra,Bouw,Sales Consultant Bouw-Infra,Brunel,2024-10-14,2024-11-13,0,2,30.0
Consultant Finance,consultant finance,,Consultant Finance,Brunel,2019-07-19,2019-08-03,0,4,15.0
Werkvoorbereider Verduurzaming,werkvoorbereider verduurzaming,Civiel ingenieur,Werkvoorbereider Verduurzaming,Brunel,2024-10-18,2024-11-17,0,4,30.0
Global Marketing Communciation Manager Philips,global marketing communciation manager philips,Manager marketingcommunicatie,Global Marketing Communciation Manager Philips,Brunel,2017-12-08,2017-12-11,0,2,3.0
Jurist Milieu,jurist milieu,Milieudeskundige,Jurist Milieu,Brunel,2024-11-10,2024-12-06,0,4,26.0
Jurist Woo,jurist woo,Advocaat,Jurist Woo,Brunel,2024-11-10,2024-12-06,0,4,26.0
Senior Online Marketeer,senior online marketeer,Online marketeer,Senior Online Marketeer,Brunel,2019-03-27,2019-04-26,0,1,30.0
Jurist Bezwaar en Beroep bij de Rijksoverheid,jurist bezwaar en beroep bij de rijksoverheid,,Jurist Bezwaar en Beroep bij de Rijksoverheid,Brunel,2023-10-31,2023-12-30,0,1,60.0
Junior FEC Analist,junior fec analist,Junior analist,Junior FEC Analist,Brunel,2024-10-28,2024-11-27,0,3,30.0
Electronics System Engineering Traineeship - Philips,electronics system engineering traineeship - philips,Systeemingenieur,Electronics System Engineering Traineeship - Philips,Brunel,2019-07-29,2019-08-19,0,1,21.0
Jurist Rechtsbijstand,jurist rechtsbijstand,Advocaat,Jurist Rechtsbijstand,Brunel,2024-02-09,2024-03-10,0,2,30.0
Senior Naval Architect,senior naval architect,Seniore Scheepsbouwkundige,Senior Naval Architect,Brunel,2019-07-08,2019-08-07,0,3,30.0
Traineeship Overheidsjurist,traineeship overheidsjurist,,Traineeship Overheidsjurist,Brunel,2024-02-19,2024-04-19,0,3,60.0
Junior AML-Analist,junior aml-analist,Financiën,Junior AML-Analist,Brunel,2024-11-02,2024-11-29,0,3,27.0
